,AUDUSD,NZDUSD,USDUSD
2018-01-01 00:00:00,-0.10301589160203156,-0.7586420485952428,0.46014114447971227
2018-01-01 01:00:00,-0.09366962447234711,-0.7656249245463054,0.46103811973532993
2018-01-01 02:00:00,-0.09961305789113706,-0.7641421245921903,0.4572372794704926
2018-01-01 03:00:00,-0.10097428024840448,-0.7721582919740632,0.4492853855164274
2018-01-01 04:00:00,-0.09896211992507227,-0.7733023762780071,0.4510558347809278
2018-01-01 05:00:00,-0.10218779118616741,-0.7702181843949922,0.45106490280797
2018-01-01 06:00:00,-0.11039260336155085,-0.7784843103651119,0.4354353820135977
2018-01-01 07:00:00,-0.1038160716817528,-0.7802596117583319,0.4408135289561962
2018-01-01 08:00:00,-0.09838604419140988,-0.781227860099367,0.4451541751572091
2018-01-01 09:00:00,-0.09171343304465555,-0.7782172366145764,0.455200384757294
2018-01-01 10:00:00,-0.08445793311909328,-0.7724305940542472,0.46831760307161313
2018-01-01 11:00:00,-0.08203718103709313,-0.770376147081923,0.4730359889165553
2018-01-01 12:00:00,-0.082017977540214,-0.7688621893753109,0.4741086238027203
2018-01-01 13:00:00,-0.06843621112987838,-0.7741463016936568,0.4823339037799152
2018-01-01 14:00:00,-0.0644520813493083,-0.7805187654262714,0.47927639128558164
2018-01-01 15:00:00,0.09598148187724871,-0.7468497757216479,0.4760466634195458
2018-01-01 16:00:00,0.10798466232588455,-0.7192510344104535,0.4916421875307343
2018-01-01 17:00:00,0.12959870193040693,-0.6913986337861489,0.4986778319870902
2018-01-01 18:00:00,0.15890402240387058,-0.6485003455069869,0.5130108070959098
2018-01-01 19:00:00,0.17473736771868417,-0.6112912340902759,0.535194028188061
2018-01-01 20:00:00,0.17781914691780032,-0.5910280870665466,0.5529212653457
2018-01-01 21:00:00,0.18273787689757975,-0.576476436863195,0.5629460267811751
2018-01-01 22:00:00,0.1891348741435875,-0.5589652659936818,0.5745255722428878
2018-01-01 23:00:00,0.19149605618963672,-0.5453411691335206,0.5863907790601618
2018-01-02 00:00:00,0.2078875028302128,-0.5197341423085817,0.5963433974119543
2018-01-02 01:00:00,0.21557653291337295,-0.49746978727003693,0.611701141394621
2018-01-02 02:00:00,0.23183451382554848,-0.4671029829420139,0.6264010561592105
2018-01-02 03:00:00,0.22944139064298297,-0.45253059110194416,0.6439213134777577
2018-01-02 04:00:00,0.22553440835966712,-0.4361324661524718,0.6646060275282831
2018-01-02 05:00:00,0.2254699837808588,-0.42596580497156067,0.6754650501712116
2018-01-02 06:00:00,0.21066516651641817,-0.4183008687129255,0.6983460659630557
2018-01-02 07:00:00,0.19650601787252536,-0.41910657442361143,0.7119050005520859
2018-01-02 08:00:00,0.18745395296035666,-0.4226244231049018,0.7178140813586251
2018-01-02 09:00:00,0.16167087953731793,-0.451416540654897,0.7147540711969658
2018-01-02 10:00:00,0.14952367793076998,-0.47365876311913613,0.7043116255928239
2018-01-02 11:00:00,0.14623511060159425,-0.48769758003948993,0.6928851911515996
2018-01-02 12:00:00,0.14815243205874246,-0.49173603034912344,0.6869026931093822
2018-01-02 13:00:00,0.14790902219861882,-0.4964025701050273,0.6823423035839281
2018-01-02 14:00:00,0.15994574595057676,-0.49045193650149,0.6762657456972301
2018-01-02 15:00:00,0.13778818181433097,-0.5063270559881581,0.68223491206165
2018-01-02 16:00:00,0.11681843705750206,-0.5258414992142157,0.6834831400867393
2018-01-02 17:00:00,0.10178197553199507,-0.5390788132646979,0.6849817142172581
2018-01-02 18:00:00,0.08825985243895249,-0.5582110495491106,0.6793496562353917
2018-01-02 19:00:00,0.06904660187326536,-0.5829903472797776,0.6744912310054019
2018-01-02 20:00:00,0.04697751125994828,-0.6160276439678892,0.6638966984745271
2018-01-02 21:00:00,0.03790693988580464,-0.641049780367374,0.6480387975032581
2018-01-02 22:00:00,0.0334777167606511,-0.6540852855591037,0.639275974378022
2018-01-02 23:00:00,0.039886022822442406,-0.6529755959006778,0.633686640928551
2018-01-03 00:00:00,0.060523748682753724,-0.6250841767256831,0.6408276506937742
2018-01-03 01:00:00,0.07280029180499172,-0.6078084316412524,0.6457866102743156
2018-01-03 02:00:00,0.09582336272933503,-0.5830746638951053,0.6474725332404178
2018-01-03 03:00:00,0.11735526342012077,-0.5549118466468741,0.6547474285952367
2018-01-03 04:00:00,0.1261673752473008,-0.5524513394628351,0.649471941482865
2018-01-03 05:00:00,0.1292514911599766,-0.5556747900643424,0.6433647655346236
2018-01-03 06:00:00,0.15669018222736078,-0.5392834112020005,0.6326758660643659
2018-01-03 07:00:00,0.16137192729836292,-0.542718312031048,0.6244297745231823
2018-01-03 08:00:00,0.1588215619851125,-0.5576616204824423,0.6119266483677898
2018-01-03 09:00:00,0.16913183207508603,-0.5476208791112542,0.6116126345404135
2018-01-03 10:00:00,0.15504656613140647,-0.5384153532312691,0.6356175876923349
2018-01-03 11:00:00,0.16969390005109491,-0.5268018186327922,0.6319377099952203
2018-01-03 12:00:00,0.17566481628009845,-0.5158212045921092,0.6362782842490999
2018-01-03 13:00:00,0.18451328251418578,-0.4955126522767804,0.6473763368056453
2018-01-03 14:00:00,0.33008797214999297,-0.3811021424038613,0.6089700960058663
2018-01-03 15:00:00,0.32598318525833475,-0.3656576764062324,0.6291029369445391
2018-01-03 16:00:00,0.337713223862112,-0.35417053164605833,0.6288637402727086
2018-01-03 17:00:00,0.3405306019177407,-0.3511913886027951,0.6292714031357033
2018-01-03 18:00:00,0.34823720130286034,-0.33972101894903267,0.6326279902040083
